epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,271.372,0.33495,0.39502,0.9803,0.86572,0.6143,0.70677,0.57212,0.81372,1.1843,1.2225,0.000218,0.000218,0.000218
137,273.019,0.37493,0.43866,0.98151,0.86572,0.6143,0.70677,0.57212,0.81372,1.1843,1.2225,0.0002048,0.0002048,0.0002048
138,274.627,0.35958,0.45382,0.92531,0.81106,0.61905,0.6954,0.58546,0.79858,1.1759,1.21562,0.0001916,0.0001916,0.0001916
139,276.203,0.37318,0.43031,0.95958,0.8079,0.60154,0.69398,0.58558,0.7969,1.1771,1.22334,0.0001784,0.0001784,0.0001784
140,277.991,0.33951,0.4167,0.95967,0.86615,0.61649,0.70099,0.59109,0.80284,1.19316,1.21226,0.0001652,0.0001652,0.0001652
141,282.612,0.29816,0.60127,0.9106,0.86615,0.61649,0.70099,0.59109,0.80284,1.19316,1.21226,0.000152,0.000152,0.000152
142,284.443,0.35162,0.64782,0.9519,0.82269,0.66667,0.70994,0.58975,0.79445,1.15935,1.19945,0.0001388,0.0001388,0.0001388
143,286.106,0.27509,0.52204,0.86955,0.85357,0.66667,0.72414,0.60384,0.80188,1.13729,1.19519,0.0001256,0.0001256,0.0001256
144,287.637,0.29305,0.50371,0.92936,0.74467,0.66667,0.7225,0.59226,0.81097,1.12035,1.19142,0.0001124,0.0001124,0.0001124
145,289.186,0.29832,0.53638,0.96684,0.74467,0.66667,0.7225,0.59226,0.81097,1.12035,1.19142,9.92e-05,9.92e-05,9.92e-05
146,290.772,0.2828,0.53881,0.8837,0.73846,0.6725,0.72022,0.59855,0.78373,1.1399,1.1376,8.6e-05,8.6e-05,8.6e-05
147,292.856,0.28276,0.5202,0.90729,0.79503,0.66667,0.72323,0.60337,0.776,1.14425,1.13109,7.28e-05,7.28e-05,7.28e-05
148,295.215,0.27856,0.4797,0.91679,0.7872,0.66667,0.72255,0.60133,0.7718,1.15133,1.12483,5.96e-05,5.96e-05,5.96e-05
149,296.78,0.29904,0.4983,0.91789,0.7872,0.66667,0.72255,0.60133,0.7718,1.15133,1.12483,4.64e-05,4.64e-05,4.64e-05
150,298.373,0.28068,0.46661,0.91207,0.7836,0.71429,0.72835,0.60793,0.7706,1.15004,1.1214,3.32e-05,3.32e-05,3.32e-05
